[profile_attr] old_data=4438495 delta_type=1 attr=gold delta_data=5000 userid=607 source=dump_data time=2013-04-08_13:23:53.894814
[profile_attr] old_data=111450412 delta_type=0 attr=gold delta_data=2000 userid=1265 source=combine time=2013-04-08_13:37:10.679153
[profile_attr] old_data=111448412 delta_type=0 attr=gold delta_data=2000 userid=1265 source=combine time=2013-04-08_13:37:11.081394
[profile_attr] old_data=111446412 delta_type=0 attr=gold delta_data=2000 userid=1265 source=combine time=2013-04-08_13:37:21.596770
[profile_attr] old_data=111444412 delta_type=0 attr=gold delta_data=2000 userid=1265 source=combine time=2013-04-08_13:38:07.208371
[profile_attr] old_data=111442412 delta_type=0 attr=gold delta_data=2000 userid=1265 source=combine time=2013-04-08_13:38:11.742594
[profile_attr] old_data=111440412 delta_type=0 attr=gold delta_data=8000 userid=1265 source=shortcut_start time=2013-04-08_13:38:26.771863
[profile_attr] old_data=111432412 delta_type=0 attr=gold delta_data=10000 userid=1265 source=shortcut_start time=2013-04-08_13:38:26.779901
[profile_attr] old_data=111422412 delta_type=0 attr=gold delta_data=6000 userid=1265 source=shortcut_start time=2013-04-08_13:38:26.787840
[profile_attr] old_data=111416412 delta_type=0 attr=gold delta_data=4000 userid=1265 source=shortcut_start time=2013-04-08_13:38:26.794521
[profile_attr] old_data=111412412 delta_type=0 attr=gold delta_data=2000 userid=1265 source=shortcut_start time=2013-04-08_13:38:26.803958
[profile_attr] old_data=111410412 delta_type=0 attr=gold delta_data=4000 userid=1265 source=shortcut_start time=2013-04-08_13:38:26.810873
[profile_attr] old_data=111406412 delta_type=0 attr=gold delta_data=6000 userid=1265 source=shortcut_start time=2013-04-08_13:38:26.817439
[profile_attr] old_data=111400412 delta_type=0 attr=gold delta_data=4000 userid=1265 source=shortcut_start time=2013-04-08_13:38:26.824012
[profile_attr] old_data=111396412 delta_type=0 attr=gold delta_data=6000 userid=1265 source=shortcut_start time=2013-04-08_13:38:26.830460
[profile_attr] old_data=111390412 delta_type=0 attr=gold delta_data=4000 userid=1265 source=shortcut_start time=2013-04-08_13:38:26.837172
[profile_attr] old_data=111386412 delta_type=0 attr=gold delta_data=2000 userid=1265 source=shortcut_start time=2013-04-08_13:38:26.843647
[profile_attr] old_data=111384412 delta_type=0 attr=gold delta_data=2000 userid=1265 source=shortcut_start time=2013-04-08_13:38:26.850308
[profile_attr] old_data=111382412 delta_type=0 attr=gold delta_data=4000 userid=1265 source=shortcut_start time=2013-04-08_13:38:26.856951
[profile_attr] old_data=111378412 delta_type=0 attr=gold delta_data=6000 userid=1265 source=shortcut_start time=2013-04-08_13:38:26.863432
[profile_attr] old_data=111372412 delta_type=0 attr=gold delta_data=4000 userid=1265 source=shortcut_start time=2013-04-08_13:38:26.869970
[profile_attr] old_data=111368412 delta_type=0 attr=gold delta_data=6000 userid=1265 source=shortcut_start time=2013-04-08_13:38:26.876573
[profile_attr] old_data=111362412 delta_type=0 attr=gold delta_data=4000 userid=1265 source=shortcut_start time=2013-04-08_13:38:26.883192
[profile_attr] old_data=111358412 delta_type=0 attr=gold delta_data=2000 userid=1265 source=shortcut_start time=2013-04-08_13:38:26.893642
[profile_attr] old_data=111356412 delta_type=0 attr=gold delta_data=2000 userid=1265 source=shortcut_start time=2013-04-08_13:38:26.903029
[profile_attr] old_data=111354412 delta_type=0 attr=gold delta_data=4000 userid=1265 source=shortcut_start time=2013-04-08_13:38:26.909660
[profile_attr] old_data=2770 delta_type=0 attr=token delta_data=15 userid=1265 source=end_clean_instance time=2013-04-08_13:39:16.308075
[profile_attr] old_data=995 delta_type=0 attr=attr_10 delta_data=50 userid=1265 source=end_clean_instance time=2013-04-08_13:39:16.308201
[profile_attr] old_data=163400 delta_type=1 attr=attr_1 delta_data=55500 userid=1265 source=end_clean_instance time=2013-04-08_13:39:16.308318
[profile_attr] old_data=111350412 delta_type=1 attr=gold delta_data=4869 userid=1265 source=end_clean_instance time=2013-04-08_13:39:16.308473
[profile_attr] old_data=218900 delta_type=1 attr=attr_1 delta_data=55500 userid=1265 source=end_clean_instance time=2013-04-08_13:39:16.325825
[profile_attr] old_data=111355281 delta_type=1 attr=gold delta_data=4869 userid=1265 source=end_clean_instance time=2013-04-08_13:39:16.326062
[profile_attr] old_data=274400 delta_type=1 attr=attr_1 delta_data=55500 userid=1265 source=end_clean_instance time=2013-04-08_13:39:16.360464
[profile_attr] old_data=111360150 delta_type=1 attr=gold delta_data=4869 userid=1265 source=end_clean_instance time=2013-04-08_13:39:16.360626
[profile_attr] old_data=283697 delta_type=1 attr=exp delta_data=27720 userid=1265 source=end_clean_instance time=2013-04-08_13:39:16.363469
[profile_attr] old_data=329900 delta_type=1 attr=attr_1 delta_data=55500 userid=1265 source=end_clean_instance time=2013-04-08_13:39:16.398903
[profile_attr] old_data=111365019 delta_type=1 attr=gold delta_data=4869 userid=1265 source=end_clean_instance time=2013-04-08_13:39:16.399064
[profile_attr] old_data=385400 delta_type=1 attr=attr_1 delta_data=55500 userid=1265 source=end_clean_instance time=2013-04-08_13:39:16.425216
[profile_attr] old_data=111369888 delta_type=1 attr=gold delta_data=4869 userid=1265 source=end_clean_instance time=2013-04-08_13:39:16.425383
[profile_attr] old_data=111374757 delta_type=1 attr=gold delta_data=1283000 userid=1265 source=dump_data time=2013-04-08_13:39:36.086379
[profile_attr] old_data=76319 delta_type=1 attr=hp delta_data=200 userid=1265 source=dump_data time=2013-04-08_13:39:36.087406
[profile_attr] old_data=0 delta_type=1 attr=mount_status delta_data=1 userid=1265 source=dump_data time=2013-04-08_13:39:36.088203
[profile_attr] old_data=198 delta_type=1 attr=mp delta_data=7 userid=1265 source=dump_data time=2013-04-08_13:39:36.088618
[profile_attr] old_data=945 delta_type=0 attr=attr_10 delta_data=10 userid=1265 source=enter time=2013-04-08_13:39:40.415755
[profile_attr] old_data=21246 delta_type=1 attr=hp delta_data=3600 userid=1045 source=dump_data time=2013-04-08_13:41:35.159259
[profile_attr] old_data=440900 delta_type=1 attr=attr_1 delta_data=55800 userid=1265 source=dump_data time=2013-04-08_13:42:36.396725
[profile_attr] old_data=112657757 delta_type=1 attr=gold delta_data=4682 userid=1265 source=dump_data time=2013-04-08_13:42:36.397533
[profile_attr] old_data=1 delta_type=1 attr=mount_status delta_data=-1 userid=1265 source=dump_data time=2013-04-08_13:42:36.399231
[profile_attr] old_data=112662439 delta_type=1 attr=gold delta_data=1736000 userid=1265 source=dump_data time=2013-04-08_13:43:04.430393
[profile_attr] old_data=0 delta_type=1 attr=mount_status delta_data=1 userid=1265 source=dump_data time=2013-04-08_13:43:04.432031
[profile_attr] old_data=935 delta_type=0 attr=attr_10 delta_data=10 userid=1265 source=enter time=2013-04-08_13:43:09.249695
[profile_attr] old_data=496700 delta_type=1 attr=attr_1 delta_data=56000 userid=1265 source=dump_data time=2013-04-08_13:45:11.917894
[profile_attr] old_data=114398439 delta_type=1 attr=gold delta_data=8437 userid=1265 source=dump_data time=2013-04-08_13:45:11.918678
[profile_attr] old_data=1 delta_type=1 attr=mount_status delta_data=-1 userid=1265 source=dump_data time=2013-04-08_13:45:11.920093
[profile_attr] old_data=114406876 delta_type=1 attr=gold delta_data=2259500 userid=1265 source=dump_data time=2013-04-08_13:45:38.573372
[profile_attr] old_data=0 delta_type=1 attr=mount_status delta_data=1 userid=1265 source=dump_data time=2013-04-08_13:45:38.574887
[profile_attr] old_data=925 delta_type=0 attr=attr_10 delta_data=10 userid=1265 source=enter time=2013-04-08_13:45:41.830212
[profile_attr] old_data=116666376 delta_type=1 attr=gold delta_data=2980 userid=1265 source=dump_data time=2013-04-08_13:47:28.135837
[profile_attr] old_data=76519 delta_type=1 attr=hp delta_data=-3491 userid=1265 source=dump_data time=2013-04-08_13:47:28.136392
[profile_attr] old_data=1 delta_type=1 attr=mount_status delta_data=-1 userid=1265 source=dump_data time=2013-04-08_13:47:28.137192
[profile_attr] old_data=73028 delta_type=1 attr=hp delta_data=1806 userid=1265 source=dump_data time=2013-04-08_13:47:42.013930
[profile_attr] old_data=552700 delta_type=1 attr=attr_1 delta_data=56300 userid=1265 source=dump_data time=2013-04-08_13:48:44.385825
[profile_attr] old_data=116669356 delta_type=1 attr=gold delta_data=6129 userid=1265 source=dump_data time=2013-04-08_13:48:44.387257
[profile_attr] old_data=74834 delta_type=1 attr=hp delta_data=-1473 userid=1265 source=dump_data time=2013-04-08_13:48:44.388230
[profile_attr] old_data=116675485 delta_type=1 attr=gold delta_data=1165000 userid=1265 source=dump_data time=2013-04-08_13:49:04.313562
[profile_attr] old_data=73361 delta_type=1 attr=hp delta_data=3158 userid=1265 source=dump_data time=2013-04-08_13:49:04.314121
[profile_attr] old_data=0 delta_type=1 attr=mount_status delta_data=1 userid=1265 source=dump_data time=2013-04-08_13:49:04.314866
[profile_attr] old_data=915 delta_type=0 attr=attr_10 delta_data=10 userid=1265 source=enter time=2013-04-08_13:49:07.676875
[profile_attr] old_data=213474 delta_type=1 attr=attr_4 delta_data=200 userid=1045 source=loads_attachment time=2013-04-08_13:49:35.185662
[profile_attr] old_data=82821128 delta_type=1 attr=gold delta_data=100000 userid=1045 source=loads_attachment time=2013-04-08_13:49:35.185805
[profile_attr] old_data=213674 delta_type=1 attr=attr_4 delta_data=200 userid=1045 source=loads_attachment time=2013-04-08_13:49:41.987510
[profile_attr] old_data=82921128 delta_type=1 attr=gold delta_data=100000 userid=1045 source=loads_attachment time=2013-04-08_13:49:41.987804
[profile_attr] old_data=213874 delta_type=1 attr=attr_4 delta_data=200 userid=1045 source=loads_attachment time=2013-04-08_13:49:45.365614
[profile_attr] old_data=83021128 delta_type=1 attr=gold delta_data=100000 userid=1045 source=loads_attachment time=2013-04-08_13:49:45.365751
[profile_attr] old_data=609000 delta_type=1 attr=attr_1 delta_data=56600 userid=1265 source=dump_data time=2013-04-08_13:51:41.638895
[profile_attr] old_data=117840485 delta_type=1 attr=gold delta_data=8474 userid=1265 source=dump_data time=2013-04-08_13:51:41.639679
[profile_attr] old_data=1496 delta_type=1 attr=attr_2 delta_data=4 userid=1265 source=dump_data time=2013-04-08_13:52:13.399718
[profile_attr] old_data=117848959 delta_type=1 attr=gold delta_data=2862500 userid=1265 source=dump_data time=2013-04-08_13:52:13.401112
[profile_attr] old_data=40 delta_type=1 attr=level delta_data=1 userid=1265 source=dump_data time=2013-04-08_13:52:13.404204
[profile_attr] old_data=76519 delta_type=1 attr=hp delta_data=200 userid=1265 source=dump_data time=2013-04-08_13:52:13.404526
[profile_attr] old_data=205 delta_type=1 attr=mp delta_data=10 userid=1265 source=dump_data time=2013-04-08_13:52:13.405484
[profile_attr] old_data=905 delta_type=0 attr=attr_10 delta_data=10 userid=1265 source=enter time=2013-04-08_13:52:16.825794
[profile_attr] old_data=665600 delta_type=1 attr=attr_1 delta_data=56800 userid=1265 source=dump_data time=2013-04-08_13:54:56.665335
[profile_attr] old_data=120711459 delta_type=1 attr=gold delta_data=9933 userid=1265 source=dump_data time=2013-04-08_13:54:56.666139
[profile_attr] old_data=1 delta_type=1 attr=mount_status delta_data=-1 userid=1265 source=dump_data time=2013-04-08_13:54:56.667442
[profile_attr] old_data=120721392 delta_type=1 attr=gold delta_data=2708000 userid=1265 source=dump_data time=2013-04-08_13:56:00.784414
[profile_attr] old_data=0 delta_type=1 attr=mount_status delta_data=1 userid=1265 source=dump_data time=2013-04-08_13:56:00.787401
[profile_attr] old_data=895 delta_type=0 attr=attr_10 delta_data=10 userid=1265 source=enter time=2013-04-08_13:56:03.990069
[profile_attr] old_data=722400 delta_type=1 attr=attr_1 delta_data=57100 userid=1265 source=dump_data time=2013-04-08_13:58:42.476134
[profile_attr] old_data=123429392 delta_type=1 attr=gold delta_data=8588 userid=1265 source=dump_data time=2013-04-08_13:58:42.476936
[profile_attr] old_data=123437980 delta_type=1 attr=gold delta_data=3852500 userid=1265 source=dump_data time=2013-04-08_13:59:11.915816
[profile_attr] old_data=2755 delta_type=0 attr=token delta_data=3 userid=1265 source=end_clean_instance time=2013-04-08_13:59:15.043752
[profile_attr] old_data=885 delta_type=0 attr=attr_10 delta_data=10 userid=1265 source=end_clean_instance time=2013-04-08_13:59:15.043869
[profile_attr] old_data=779500 delta_type=1 attr=attr_1 delta_data=55800 userid=1265 source=end_clean_instance time=2013-04-08_13:59:15.044047
[profile_attr] old_data=127290480 delta_type=1 attr=gold delta_data=5019 userid=1265 source=end_clean_instance time=2013-04-08_13:59:15.044269
[profile_attr] old_data=127295499 delta_type=1 attr=gold delta_data=641500 userid=1265 source=dump_data time=2013-04-08_13:59:39.563694
[profile_attr] old_data=2752 delta_type=0 attr=token delta_data=3 userid=1265 source=end_clean_instance time=2013-04-08_13:59:46.702858
[profile_attr] old_data=875 delta_type=0 attr=attr_10 delta_data=10 userid=1265 source=end_clean_instance time=2013-04-08_13:59:46.703003
[profile_attr] old_data=835300 delta_type=1 attr=attr_1 delta_data=55800 userid=1265 source=end_clean_instance time=2013-04-08_13:59:46.703122
[profile_attr] old_data=127936999 delta_type=1 attr=gold delta_data=5019 userid=1265 source=end_clean_instance time=2013-04-08_13:59:46.703259
